	(1)	(2)
VARIABLES	Q1a	Q1b
		
treated	-189,849	
	(220,055)	
shrimp	1.604***	
	(0.209)	
salmon	-0.872	
	(1.262)	
2.firm	-171,938	
	(199,938)	
3.firm	-44,495	
	(49,962)	
4.firm	59,089	
	(70,056)	
5.firm	187,640	
	(191,045)	
6.firm	-4,197	
	(23,427)	
7.firm	-203,868	
	(236,995)	
8.firm	-48,947	
	(69,814)	
9.firm	101,209	
	(110,831)	
10.firm	140,517	
	(147,607)	
11.firm	-122,985	
	(149,137)	
12.firm	178,535	
	(203,479)	
13.firm	136,266	
	(152,426)	
14.firm	35,216	
	(37,609)	
15.firm	105,983	
	(110,613)	
16.firm	169,764	
	(191,330)	
17.firm	116,384	
	(130,358)	
18.firm	-221,735	
	(255,790)	
19.firm	108,483	
	(125,324)	
20.firm	280,833	
	(336,932)	
21.firm	-33,911	
	(36,187)	
22.firm	64,906	
	(73,967)	
23.firm	121,497	
	(140,226)	
24.firm	25,257***	
	(8,607)	
25.firm	49,702*	
	(26,044)	
26.firm	-138,591	
	(164,841)	
27.firm	164,579	
	(214,868)	
28.firm	69,893	
	(88,570)	
29.firm	-2,622	
	(18,979)	
30.firm	18,299	
	(31,958)	
31.firm	136,149	
	(163,570)	
32.firm	67,333	
	(72,794)	
33.firm	-20,719	
	(40,808)	
34.firm	67,129	
	(71,095)	
35.firm	-126,586	
	(145,291)	
36.firm	-172,458	
	(202,319)	
37.firm	96,831	
	(126,344)	
38.firm	131,110	
	(160,000)	
39.firm	-207,556	
	(237,537)	
40.firm	-1,492	
	(31,906)	
41.firm	126,885	
	(146,896)	
42.firm	-98,349	
	(116,606)	
43.firm	145,301	
	(151,315)	
44.firm	-221,916	
	(256,106)	
45.firm	62,151	
	(76,017)	
46.firm	-17,971	
	(25,062)	
47.firm	-205,230	
	(237,538)	
48.firm	-2,312	
	(1,795)	
49o.firm	-	
		
50.firm	-139,366	
	(165,756)	
2.month	207.5	207.5
	(289.8)	(283.6)
3.month	215.5	215.5
	(339.0)	(331.9)
4.month	498.6	498.6
	(536.1)	(524.8)
5.month	812.7	812.7
	(626.0)	(612.8)
6.month	934.4	934.4
	(821.0)	(803.7)
7.month	1,269	1,269
	(906.9)	(887.8)
8.month	1,507	1,507
	(1,140)	(1,116)
9.month	1,634	1,634
	(1,246)	(1,219)
10.month	1,117	1,117
	(1,173)	(1,149)
11.month	1,146	1,146
	(1,337)	(1,309)
12.month	1,125	1,125
	(1,333)	(1,305)
13.month	-3,207*	-3,207**
	(1,605)	(1,571)
14.month	-3,327*	-3,327*
	(1,705)	(1,669)
15.month	-3,367*	-3,367**
	(1,700)	(1,664)
16.month	-3,350*	-3,350*
	(1,822)	(1,784)
17.month	-3,521*	-3,521*
	(1,832)	(1,794)
18.month	-2,928	-2,928
	(1,813)	(1,775)
19.month	-3,017	-3,017
	(1,933)	(1,893)
20.month	-2,969	-2,969
	(2,034)	(1,991)
21.month	-2,869	-2,869
	(2,084)	(2,040)
22.month	-2,995	-2,995
	(2,314)	(2,265)
23.month	-3,070	-3,070
	(2,387)	(2,337)
24.month	-3,154	-3,154
	(2,274)	(2,226)
o.treated_2		-
		
shrimp_2		1.604***
		(0.205)
salmon_2		-0.872
		(1.235)
Constant	239,486	1,138
	(272,686)	(1,209)
		
Observations	1,200	1,200
R-squared	0.995	0.340
Robust standard errors in parentheses		
*** p<0.01, ** p<0.05, * p<0.1		
