	(1)	(2)	(3)
VARIABLES	lnmw	lnmw	lnmw
			
2.zone1	2.278***	2.278***	
	(0.000808)	(0.000865)	
4.month	-0.210***	-0.127***	
	(0.00189)	(0.00202)	
5.month	-0.153***	-0.0994***	
	(0.00222)	(0.00221)	
6.month	0.0324***	0.0605***	
	(0.00280)	(0.00273)	
7.month	0.199***	0.215***	
	(0.00304)	(0.00303)	
8.month	0.163***	0.182***	
	(0.00291)	(0.00288)	
9.month	-0.0102***	0.0239***	
	(0.00264)	(0.00258)	
10.month	-0.178***	-0.111***	
	(0.00190)	(0.00195)	
11.month	-0.135***	-0.0355***	
	(0.00170)	(0.00192)	
12.month	-0.0523***	0.0667***	
	(0.00156)	(0.00190)	
1.dow	0.0846***	0.0835***	
	(0.00154)	(0.00168)	
2.dow	0.100***	0.0984***	
	(0.00155)	(0.00169)	
3.dow	0.101***	0.101***	
	(0.00155)	(0.00169)	
4.dow	0.0964***	0.0938***	
	(0.00153)	(0.00168)	
5.dow	0.0889***	0.0866***	
	(0.00152)	(0.00166)	
6.dow	0.0275***	0.0260***	
	(0.00156)	(0.00171)	
1.hour	-0.0342***	-0.0325***	
	(0.00241)	(0.00263)	
2.hour	-0.0523***	-0.0503***	
	(0.00243)	(0.00265)	
3.hour	-0.0529***	-0.0507***	
	(0.00244)	(0.00266)	
4.hour	-0.0258***	-0.0232***	
	(0.00246)	(0.00269)	
5.hour	0.0325***	0.0354***	
	(0.00253)	(0.00277)	
6.hour	0.0886***	0.0937***	
	(0.00254)	(0.00279)	
7.hour	0.123***	0.134***	
	(0.00247)	(0.00272)	
8.hour	0.143***	0.161***	
	(0.00250)	(0.00273)	
9.hour	0.156***	0.180***	
	(0.00264)	(0.00288)	
10.hour	0.169***	0.197***	
	(0.00281)	(0.00307)	
11.hour	0.177***	0.206***	
	(0.00295)	(0.00322)	
12.hour	0.188***	0.216***	
	(0.00303)	(0.00331)	
13.hour	0.200***	0.222***	
	(0.00305)	(0.00334)	
14.hour	0.217***	0.234***	
	(0.00299)	(0.00329)	
15.hour	0.242***	0.253***	
	(0.00289)	(0.00318)	
16.hour	0.274***	0.278***	
	(0.00279)	(0.00307)	
17.hour	0.289***	0.286***	
	(0.00268)	(0.00295)	
18.hour	0.285***	0.280***	
	(0.00257)	(0.00282)	
19.hour	0.273***	0.269***	
	(0.00248)	(0.00272)	
20.hour	0.245***	0.242***	
	(0.00241)	(0.00264)	
21.hour	0.190***	0.189***	
	(0.00236)	(0.00258)	
22.hour	0.118***	0.119***	
	(0.00235)	(0.00257)	
23.hour	0.0488***	0.0499***	
	(0.00239)	(0.00263)	
2015.year		-0.0149***	
		(0.00158)	
2016.year		-0.0101***	
		(0.00156)	
2017.year		-0.0366***	
		(0.00155)	
2018.year		-0.00402**	
		(0.00157)	
2019.year		-0.0394***	
		(0.00159)	
2020.year		-0.0866***	
		(0.00164)	
o.treatment		-	-
			
temp	0.000240***	0.00285***	
	(4.71e-05)	(5.86e-05)	
pcp	-0.0186	-0.0222**	
	(0.0120)	(0.0106)	
treatment	-0.0655***		-0.0650***
	(0.00136)		(0.00225)
2.month	-0.0340***		
	(0.00178)		
3.month	-0.110***		
	(0.00179)		
zone1			2.266***
			(0.00146)
o.year2020			-
			
logmw_hat1			4.36e-07***
			(1.85e-08)
Constant	6.851***	6.648***	4.746***
	(0.00285)	(0.00379)	(0.00272)
			
Observations	122,718	102,800	102,800
R-squared	0.985	0.985	0.959
Robust standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
